clase,imagen,asim_vertical,asim_horizontal,asim_total,circularidad,hu_1,hu_2,hu_3,hu_4,compacidad,var_radial,dim_fractal,rgb_r_mean,rgb_r_std,rgb_r_skew,rgb_g_mean,rgb_g_std,rgb_g_skew,rgb_b_mean,rgb_b_std,rgb_b_skew,hsv_h_mean,hsv_h_std,hsv_h_skew,hsv_s_mean,hsv_s_std,hsv_s_skew,hsv_v_mean,hsv_v_std,hsv_v_skew,lab_l_mean,lab_l_std,lab_l_skew,lab_a_mean,lab_a_std,lab_a_skew,lab_b__mean,lab_b__std,lab_b__skew,color_entropia_L,colores_dominantes,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,glcm_entropy,lbp_entropy,lbp_energy,zona_int_L_mean,zona_int_L_std,zona_int_a_mean,zona_int_a_std,zona_int_b_mean,zona_int_b_std,zona_anular_L_mean,zona_anular_L_std,zona_anular_a_mean,zona_anular_a_std,zona_anular_b_mean,zona_anular_b_std,zona_piel_L_mean,zona_piel_L_std,zona_piel_a_mean,zona_piel_a_std,zona_piel_b_mean,zona_piel_b_std,ratio_int_anular_L,ratio_lesion_piel_L,ratio_int_anular_a,ratio_lesion_piel_a,ratio_int_anular_b,ratio_lesion_piel_b,grad_borde_mean,grad_borde_std,grad_borde_max,indice_abrupticidad,heterog_cv_cuadrantes,heterog_rango_cuadrantes,heterog_var_local_mean,heterog_var_local_std
mel,ISIC_0024323,0.2067,0.1398,0.1732,4.6114,3.0858,6.9214,9.8793,9.9833,4.6114,0.262,0.9935,118.455,55.83,-0.186,96.078,50.416,-0.012,95.18,50.124,-0.032,76.874,79.577,0.292,70.268,49.428,2.05,119.409,55.223,-0.185,107.655,53.706,-0.218,137.0,5.172,-0.578,131.968,5.785,-0.166,0.9572,5,20.15793,0.78392,0.72202,0.94821,3.6544,3.7173,0.1168,104.145,59.29,138.378,4.316,131.624,5.079,110.628,48.277,135.833,5.537,132.259,6.306,194.216,41.402,130.52,4.136,131.009,5.158,0.9414,0.5696,1.0187,1.0407,0.9952,1.0095,105.6949,98.4853,927.8674,1.0732,0.0491,0.1355,830.6716,880.9602
mel,ISIC_0024333,0.1522,0.1452,0.1487,4.0114,3.093,7.1774,9.889,9.973,4.0114,0.2857,0.9561,106.766,56.142,-0.092,85.932,47.881,-0.012,84.09,48.405,0.084,66.678,78.247,0.557,70.085,46.025,2.148,106.956,55.882,-0.082,96.475,52.768,-0.152,136.145,4.63,-0.273,132.267,4.896,0.039,0.9503,6,17.27009,0.78413,0.72033,0.94815,3.6456,3.8051,0.10105,95.096,55.472,137.278,4.223,131.759,4.652,97.635,50.35,135.191,4.742,132.694,5.052,195.721,41.06,132.932,5.694,129.448,4.678,0.974,0.4988,1.0154,1.017,0.993,1.0251,112.482,86.8332,915.8035,1.2954,0.0856,0.2086,730.053,603.4969
mel,ISIC_0024481,0.0152,0.0534,0.0343,1.6486,3.1269,6.9125,9.8371,9.9859,1.6486,0.2104,0.9349,69.589,55.178,0.233,62.154,50.474,0.292,61.524,50.8,0.365,70.786,69.463,0.376,57.964,62.151,1.717,71.377,55.014,0.195,68.05,55.035,0.201,131.009,6.23,0.22,129.497,7.138,0.449,0.8828,5,5.49558,0.94593,0.93004,0.92905,1.0496,3.5241,0.13519,48.699,54.923,133.402,5.948,126.655,5.717,84.653,49.42,128.956,5.713,131.935,7.331,199.365,32.052,128.626,3.258,129.664,4.425,0.5753,0.4246,1.0345,1.0026,0.96,1.0175,96.4824,71.2156,884.648,1.3548,0.2108,0.5358,666.7067,653.7971
mel,ISIC_0024647,0.0161,1.0,0.5081,5.941,2.3658,4.793,8.5048,9.247,5.941,0.492,1.2548,50.679,44.216,0.451,39.679,36.828,0.601,40.149,36.319,0.577,75.85,76.342,0.21,70.641,59.844,1.547,50.917,44.02,0.454,44.204,42.457,0.573,132.886,3.957,-0.084,129.467,3.514,0.515,0.8315,6,2.06689,0.96826,0.92692,0.94688,0.9189,3.5667,0.10639,9.131,11.608,129.752,2.933,128.05,1.741,77.477,33.33,135.86,2.046,130.811,4.181,168.689,27.359,133.835,2.649,133.075,3.815,0.1179,0.4593,0.955,1.0151,0.9789,0.983,41.9639,34.9923,470.5741,1.1992,0.0591,0.1181,95.0481,141.3808
mel,ISIC_0024675,0.1764,1.0,0.5882,7.4846,2.1622,4.3613,7.3719,7.4963,7.4846,0.5236,1.4275,49.517,46.604,0.465,46.753,43.442,0.483,44.598,39.667,0.489,59.422,58.944,0.6,65.235,74.628,1.684,50.742,45.64,0.473,49.744,47.918,0.478,128.67,1.869,0.472,129.696,3.422,0.89,0.8351,6,2.23774,0.97546,0.95546,0.93167,0.6193,3.3696,0.12442,8.37,13.114,127.948,1.347,127.493,1.753,89.589,33.25,129.365,2.03,131.818,3.295,177.232,19.946,128.013,2.605,134.685,2.892,0.0934,0.5055,0.989,1.0106,0.9672,0.9787,50.1123,24.9179,255.5621,2.0111,0.0888,0.1776,177.7266,170.1542
mel,ISIC_0024929,0.1357,0.0505,0.0931,2.1623,3.1574,7.2675,9.9035,9.9974,2.1623,0.1663,0.9882,100.527,57.048,0.104,81.731,48.722,0.463,71.155,44.176,0.742,36.213,48.963,1.648,90.73,55.794,0.962,102.599,55.603,0.153,91.037,52.74,0.222,134.295,6.04,-0.217,137.05,9.029,0.07,0.958,5,26.3081,0.58596,0.44321,0.94077,6.5182,3.8187,0.09914,94.643,55.271,133.464,6.001,135.072,7.814,87.944,50.262,135.007,5.982,138.747,9.635,197.759,32.436,131.065,3.668,138.591,8.395,1.0762,0.4447,0.9886,1.0301,0.9735,1.0011,80.6264,57.9644,968.6248,1.391,0.169,0.4043,675.6586,695.5737
mel,ISIC_0024972,1.0,0.7667,0.8834,2.2235,2.9668,6.1579,9.8127,9.9625,2.2235,0.3591,1.2487,37.08,39.772,1.484,32.829,33.552,1.366,31.006,33.263,1.446,61.704,60.667,0.731,94.111,79.081,1.07,38.905,40.017,1.5,34.393,38.156,1.37,129.366,5.335,1.899,129.835,3.128,0.518,0.808,6,3.4376,0.92771,0.87422,0.92684,1.5658,3.2861,0.16767,15.161,22.827,127.91,2.82,128.646,2.492,50.256,40.868,130.566,6.496,130.816,3.257,179.653,34.738,137.415,12.749,130.581,4.255,0.3017,0.2797,0.9797,0.9502,0.9834,1.0018,67.966,57.0306,713.047,1.1917,0.183,0.366,192.5689,285.8866
mel,ISIC_0025081,0.1796,0.1719,0.1757,1.6547,3.1551,7.2484,9.9892,9.9995,1.6547,0.1644,0.9497,71.272,46.551,0.264,47.794,44.751,0.592,60.899,44.861,0.363,124.348,63.35,-1.228,113.142,87.976,0.46,72.649,46.72,0.238,58.714,47.736,0.446,140.384,10.021,0.164,124.744,5.657,-0.487,0.8939,6,4.51116,0.95859,0.94809,0.88282,0.7999,3.4187,0.15654,31.75,33.597,143.399,10.709,124.453,6.329,80.789,46.235,137.916,8.673,124.982,5.028,198.334,31.327,131.482,6.365,125.916,3.791,0.393,0.4073,1.0398,1.0489,0.9958,0.9926,111.735,69.0624,562.921,1.6179,0.1863,0.4871,649.9672,474.8896
mel,ISIC_0025128,0.2342,1.0,0.6171,5.3101,2.8355,5.8736,9.4108,9.5698,5.3101,0.3976,1.1897,104.693,36.856,-0.476,135.135,28.15,-0.758,157.045,25.032,-0.727,103.074,3.905,0.839,90.818,42.403,1.426,157.048,25.035,-0.726,139.71,28.992,-0.821,123.267,3.746,0.043,112.884,4.253,-0.309,0.8575,5,7.82694,0.88279,0.80758,0.97993,2.3158,3.3711,0.18011,127.312,32.31,122.296,3.946,111.999,4.592,150.093,20.824,124.081,3.36,113.625,3.791,185.635,17.953,123.786,4.001,118.488,4.05,0.8482,0.8085,0.9856,1.0024,0.9857,0.959,52.927,36.8128,517.3664,1.4377,0.0047,0.0095,143.3841,79.6935
mel,ISIC_0025324,0.0033,0.0877,0.0455,5.3128,3.113,8.2634,9.9339,9.9862,5.3128,0.2552,1.018,95.107,63.93,0.138,66.827,52.953,0.709,52.948,49.972,1.253,35.637,53.574,1.688,135.616,72.558,-0.122,96.687,62.881,0.166,77.868,58.028,0.406,138.517,7.795,0.355,140.87,12.356,-0.293,0.9417,5,21.71518,0.87545,0.84669,0.87279,2.2273,3.595,0.13009,56.559,54.086,138.185,8.871,136.518,12.713,96.057,55.01,138.8,6.729,144.584,10.727,172.768,54.544,132.99,6.229,137.925,9.616,0.5888,0.556,0.9956,1.0437,0.9442,1.0483,148.4452,131.1662,1086.3968,1.1317,0.1263,0.3491,1417.7386,1328.4374
